job titles
Software Developer
Software Engineer
Full Stack Developer
Frontend Developer
Backend Developer
Embedded Systems Engineer
Mobile App Developer
Android Developer
iOS Developer
Web Developer
Game Developer
DevOps Engineer
Site Reliability Engineer (SRE)
Release Engineer
Software Architect
Application Developer
Cloud Engineer
Firmware Engineer
Java Developer
Python Developer
C++ Developer
C# Developer
PHP Developer
Ruby Developer
Scala Developer
Go Developer
Node.js Developer
Rust Developer
Systems Engineer
Platform Engineer
Build Engineer
Automation Engineer
Microservices Developer
Data Scientist
Data Analyst
Data Engineer
Machine Learning Engineer
AI Engineer
Deep Learning Engineer
Data Architect
Business Intelligence Developer
Big Data Engineer
NLP Engineer (Natural Language Processing)
Computer Vision Engineer
Data Visualization Specialist
Quantitative Analyst
Data Quality Analyst
Statistical Programmer
Data Mining Engineer
Predictive Analytics Specialist
Cybersecurity
Cybersecurity Analyst
Information Security Analyst
Security Engineer
Security Architect
Security Consultant
Penetration Tester
Ethical Hacker
Incident Response Analyst
Forensic Analyst
Network Security Engineer
Cloud Security Engineer
Application Security Engineer
Identity and Access Management (IAM) Specialist
Compliance Analyst
Security Operations Center (SOC) Analyst
Vulnerability Analyst
Risk Analyst
Security Auditor
Security Program Manager
Chief Information Security Officer (CISO)
Network Engineer
Systems Administrator
Network Administrator
Cloud Administrator
Database Administrator (DBA)
Infrastructure Engineer
Storage Administrator
Virtualization Engineer
Linux Administrator
Windows Administrator
Network Architect
IT Support Specialist
Help Desk Technician
Technical Support Engineer
IT Systems Manager
IT Operations Manager
Data Center Technician
Configuration Manager
Backup Administrator
Research Scientist
R&D Engineer
Computational Scientist
Algorithm Engineer
Computer Scientist
Research Programmer
Scientific Programmer
Research Engineer
Quantitative Researcher
High Performance Computing (HPC) Engineer
Project Manager
Product Manager
Technical Program Manager
Scrum Master
Agile Coach
IT Manager
Engineering Manager
Chief Technology Officer (CTO)
Chief Information Officer (CIO)
VP of Engineering
Director of Engineering
Technology Consultant
Innovation Manager
Technology Evangelist
Quality Assurance Engineer
QA Tester
Automation Tester
Manual Tester
Test Engineer
Software Tester
Performance Tester
Usability Tester
Test Automation Engineer
QA Analyst
Quality Engineer
AI Research Scientist
Robotics Engineer
AI Specialist
Robotic Process Automation (RPA) Developer
AI Product Manager
Robotics Software Engineer
Robotics Technician
Autonomous Systems Engineer
AI Model Trainer
Robotics Programmer
AI Algorithm Developer
AI Data Curator
AI Analyst
Technical Writer
Documentation Specialist
API Writer
Proposal Writer
Technical Content Developer
Blockchain Developer
IoT Developer (Internet of Things)
Computer Graphics Developer
Systems Analyst
Database Developer
Hardware Engineer
IT Auditor
ERP Consultant
CRM Developer
GIS Developer (Geographic Information Systems)
HMI Developer (Human-Machine Interface)
Telecommunications Engineer
SCADA Engineer (Supervisory Control and Data Acquisition)
Quantum Computing Researcher
Cryptocurrency Developer
Ethical AI Developer
AR/VR Developer (Augmented/Virtual Reality)
Edge Computing Developer
